x,y,u
0.502935,0.00195695,-9.48053e-05
0.504892,0.00195695,-9.47531e-05
0.506849,0.00195695,-9.46989e-05
0.508806,0.00195695,-9.46425e-05
0.510763,0.00195695,-9.45841e-05
0.51272,0.00195695,-9.45235e-05
0.514677,0.00195695,-9.44608e-05
0.516634,0.00195695,-9.43959e-05
0.518591,0.00195695,-9.4329e-05
0.520548,0.00195695,-9.426e-05
0.522505,0.00195695,-9.41889e-05
0.524462,0.00195695,-9.41157e-05
0.526419,0.00195695,-9.40404e-05
0.528376,0.00195695,-9.3963e-05
0.530333,0.00195695,-9.38835e-05
0.53229,0.00195695,-9.3802e-05
0.534247,0.00195695,-9.37183e-05
0.536204,0.00195695,-9.36326e-05
0.53816,0.00195695,-9.35448e-05
0.540117,0.00195695,-9.34549e-05
0.542074,0.00195695,-9.33629e-05
0.544031,0.00195695,-9.32688e-05
0.545988,0.00195695,-9.31727e-05
0.547945,0.00195695,-9.30745e-05
0.549902,0.00195695,-9.29742e-05
0.551859,0.00195695,-9.28718e-05
0.553816,0.00195695,-9.27673e-05
0.555773,0.00195695,-9.26608e-05
0.55773,0.00195695,-9.25522e-05
0.559687,0.00195695,-9.24414e-05
0.561644,0.00195695,-9.23286e-05
0.563601,0.00195695,-9.22137e-05
0.565558,0.00195695,-9.20967e-05
0.567515,0.00195695,-9.19777e-05
0.569472,0.00195695,-9.18565e-05
0.571429,0.00195695,-9.17332e-05
0.573386,0.00195695,-9.16078e-05
0.575342,0.00195695,-9.14803e-05
0.577299,0.00195695,-9.13507e-05
0.579256,0.00195695,-9.12189e-05
0.581213,0.00195695,-9.10851e-05
0.58317,0.00195695,-9.09491e-05
0.585127,0.00195695,-9.0811e-05
0.587084,0.00195695,-9.06708e-05
0.589041,0.00195695,-9.05284e-05
0.590998,0.00195695,-9.03839e-05
0.592955,0.00195695,-9.02372e-05
0.594912,0.00195695,-9.00884e-05
0.596869,0.00195695,-8.99374e-05
0.598826,0.00195695,-8.97842e-05
0.600783,0.00195695,-8.96289e-05
0.60274,0.00195695,-8.94714e-05
0.604697,0.00195695,-8.93117e-05
0.606654,0.00195695,-8.91498e-05
0.608611,0.00195695,-8.89858e-05
0.610568,0.00195695,-8.88195e-05
0.612524,0.00195695,-8.8651e-05
0.614481,0.00195695,-8.84803e-05
0.616438,0.00195695,-8.83073e-05
0.618395,0.00195695,-8.81321e-05
0.620352,0.00195695,-8.79547e-05
0.622309,0.00195695,-8.7775e-05
0.624266,0.00195695,-8.75931e-05
0.626223,0.00195695,-8.74089e-05
0.62818,0.00195695,-8.72224e-05
0.630137,0.00195695,-8.70336e-05
0.632094,0.00195695,-8.68426e-05
0.634051,0.00195695,-8.66492e-05
0.636008,0.00195695,-8.64535e-05
0.637965,0.00195695,-8.62555e-05
0.639922,0.00195695,-8.60552e-05
0.641879,0.00195695,-8.58525e-05
0.643836,0.00195695,-8.56475e-05
0.645793,0.00195695,-8.54401e-05
0.64775,0.00195695,-8.52304e-05
0.649706,0.00195695,-8.50182e-05
0.651663,0.00195695,-8.48037e-05
0.65362,0.00195695,-8.45868e-05
0.655577,0.00195695,-8.43675e-05
0.657534,0.00195695,-8.41457e-05
0.659491,0.00195695,-8.39215e-05
0.661448,0.00195695,-8.36949e-05
0.663405,0.00195695,-8.34658e-05
0.665362,0.00195695,-8.32342e-05
0.667319,0.00195695,-8.30002e-05
0.669276,0.00195695,-8.27637e-05
0.671233,0.00195695,-8.25247e-05
0.67319,0.00195695,-8.22832e-05
0.675147,0.00195695,-8.20391e-05
0.677104,0.00195695,-8.17925e-05
0.679061,0.00195695,-8.15434e-05
0.681018,0.00195695,-8.12918e-05
0.682975,0.00195695,-8.10375e-05
0.684932,0.00195695,-8.07807e-05
0.686888,0.00195695,-8.05213e-05
0.688845,0.00195695,-8.02593e-05
0.690802,0.00195695,-7.99947e-05
0.692759,0.00195695,-7.97274e-05
0.694716,0.00195695,-7.94575e-05
0.696673,0.00195695,-7.9185e-05
0.69863,0.00195695,-7.89098e-05
0.700587,0.00195695,-7.86319e-05
0.702544,0.00195695,-7.83514e-05
0.704501,0.00195695,-7.80682e-05
0.706458,0.00195695,-7.77822e-05
0.708415,0.00195695,-7.74935e-05
0.710372,0.00195695,-7.72021e-05
0.712329,0.00195695,-7.6908e-05
0.714286,0.00195695,-7.66111e-05
0.716243,0.00195695,-7.63114e-05
0.7182,0.00195695,-7.6009e-05
0.720157,0.00195695,-7.57037e-05
0.722114,0.00195695,-7.53957e-05
0.72407,0.00195695,-7.50848e-05
0.726027,0.00195695,-7.47711e-05
0.727984,0.00195695,-7.44546e-05
0.729941,0.00195695,-7.41352e-05
0.731898,0.00195695,-7.3813e-05
0.733855,0.00195695,-7.34879e-05
0.735812,0.00195695,-7.31599e-05
0.737769,0.00195695,-7.2829e-05
0.739726,0.00195695,-7.24952e-05
0.741683,0.00195695,-7.21585e-05
0.74364,0.00195695,-7.18188e-05
0.745597,0.00195695,-7.14762e-05
0.747554,0.00195695,-7.11307e-05
0.749511,0.00195695,-7.07822e-05
0.751468,0.00195695,-7.04307e-05
0.753425,0.00195695,-7.00762e-05
0.755382,0.00195695,-6.97188e-05
0.757339,0.00195695,-6.93583e-05
0.759295,0.00195695,-6.89948e-05
0.761252,0.00195695,-6.86283e-05
0.763209,0.00195695,-6.82587e-05
0.765166,0.00195695,-6.78861e-05
0.767123,0.00195695,-6.75105e-05
0.76908,0.00195695,-6.71317e-05
0.771037,0.00195695,-6.67499e-05
0.772994,0.00195695,-6.6365e-05
0.774951,0.00195695,-6.59771e-05
0.776908,0.00195695,-6.5586e-05
0.778865,0.00195695,-6.51917e-05
0.780822,0.00195695,-6.47944e-05
0.782779,0.00195695,-6.43939e-05
0.784736,0.00195695,-6.39903e-05
0.786693,0.00195695,-6.35835e-05
0.78865,0.00195695,-6.31736e-05
0.790607,0.00195695,-6.27605e-05
0.792564,0.00195695,-6.23442e-05
0.794521,0.00195695,-6.19248e-05
0.796477,0.00195695,-6.15021e-05
0.798434,0.00195695,-6.10763e-05
0.800391,0.00195695,-6.06472e-05
0.802348,0.00195695,-6.0215e-05
0.804305,0.00195695,-5.97795e-05
0.806262,0.00195695,-5.93407e-05
0.808219,0.00195695,-5.88988e-05
0.810176,0.00195695,-5.84536e-05
0.812133,0.00195695,-5.80052e-05
0.81409,0.00195695,-5.75535e-05
0.816047,0.00195695,-5.70985e-05
0.818004,0.00195695,-5.66403e-05
0.819961,0.00195695,-5.61789e-05
0.821918,0.00195695,-5.57141e-05
0.823875,0.00195695,-5.52461e-05
0.825832,0.00195695,-5.47748e-05
0.827789,0.00195695,-5.43002e-05
0.829746,0.00195695,-5.38223e-05
0.831703,0.00195695,-5.33411e-05
0.833659,0.00195695,-5.28566e-05
0.835616,0.00195695,-5.23689e-05
0.837573,0.00195695,-5.18778e-05
0.83953,0.00195695,-5.13834e-05
0.841487,0.00195695,-5.08857e-05
0.843444,0.00195695,-5.03847e-05
0.845401,0.00195695,-4.98804e-05
0.847358,0.00195695,-4.93728e-05
0.849315,0.00195695,-4.88619e-05
0.851272,0.00195695,-4.83476e-05
0.853229,0.00195695,-4.783e-05
0.855186,0.00195695,-4.73091e-05
0.857143,0.00195695,-4.67849e-05
0.8591,0.00195695,-4.62574e-05
0.861057,0.00195695,-4.57266e-05
0.863014,0.00195695,-4.51924e-05
0.864971,0.00195695,-4.4655e-05
0.866928,0.00195695,-4.41142e-05
0.868885,0.00195695,-4.35701e-05
0.870841,0.00195695,-4.30228e-05
0.872798,0.00195695,-4.24721e-05
0.874755,0.00195695,-4.19181e-05
0.876712,0.00195695,-4.13608e-05
0.878669,0.00195695,-4.08002e-05
0.880626,0.00195695,-4.02363e-05
0.882583,0.00195695,-3.96691e-05
0.88454,0.00195695,-3.90987e-05
0.886497,0.00195695,-3.8525e-05
0.888454,0.00195695,-3.7948e-05
0.890411,0.00195695,-3.73677e-05
0.892368,0.00195695,-3.67842e-05
0.894325,0.00195695,-3.61974e-05
0.896282,0.00195695,-3.56074e-05
0.898239,0.00195695,-3.50141e-05
0.900196,0.00195695,-3.44176e-05
0.902153,0.00195695,-3.38179e-05
0.90411,0.00195695,-3.32149e-05
0.906067,0.00195695,-3.26088e-05
0.908023,0.00195695,-3.19994e-05
0.90998,0.00195695,-3.13869e-05
0.911937,0.00195695,-3.07712e-05
0.913894,0.00195695,-3.01523e-05
0.915851,0.00195695,-2.95302e-05
0.917808,0.00195695,-2.8905e-05
0.919765,0.00195695,-2.82766e-05
0.921722,0.00195695,-2.76452e-05
0.923679,0.00195695,-2.70106e-05
0.925636,0.00195695,-2.63729e-05
0.927593,0.00195695,-2.57321e-05
0.92955,0.00195695,-2.50882e-05
0.931507,0.00195695,-2.44412e-05
0.933464,0.00195695,-2.37913e-05
0.935421,0.00195695,-2.31382e-05
0.937378,0.00195695,-2.24822e-05
0.939335,0.00195695,-2.18231e-05
0.941292,0.00195695,-2.11611e-05
0.943249,0.00195695,-2.0496e-05
0.945205,0.00195695,-1.9828e-05
0.947162,0.00195695,-1.91571e-05
0.949119,0.00195695,-1.84833e-05
0.951076,0.00195695,-1.78065e-05
0.953033,0.00195695,-1.71268e-05
0.95499,0.00195695,-1.64443e-05
0.956947,0.00195695,-1.57589e-05
0.958904,0.00195695,-1.50706e-05
0.960861,0.00195695,-1.43796e-05
0.962818,0.00195695,-1.36857e-05
0.964775,0.00195695,-1.29891e-05
0.966732,0.00195695,-1.22897e-05
0.968689,0.00195695,-1.15876e-05
0.970646,0.00195695,-1.08828e-05
0.972603,0.00195695,-1.01752e-05
0.97456,0.00195695,-9.46503e-06
0.976517,0.00195695,-8.75218e-06
0.978474,0.00195695,-8.0367e-06
0.980431,0.00195695,-7.31862e-06
0.982387,0.00195695,-6.59795e-06
0.984344,0.00195695,-5.87473e-06
0.986301,0.00195695,-5.14898e-06
0.988258,0.00195695,-4.42073e-06
0.990215,0.00195695,-3.68999e-06
0.992172,0.00195695,-2.9568e-06
0.994129,0.00195695,-2.22118e-06
0.996086,0.00195695,-1.48315e-06
0.998043,0.00195695,-7.4275e-07
0.00195695,0.00391389,-1.78174e-06
0.00391389,0.00391389,-3.55069e-06
0.00587084,0.00391389,-5.30679e-06
0.00782779,0.00391389,-7.04999e-06
0.00978474,0.00391389,-8.78022e-06
0.0117417,0.00391389,-1.04974e-05
0.0136986,0.00391389,-1.22015e-05
0.0156556,0.00391389,-1.38925e-05
0.0176125,0.00391389,-1.55703e-05
0.0195695,0.00391389,-1.72348e-05
0.0215264,0.00391389,-1.8886e-05
0.0234834,0.00391389,-2.05239e-05
0.0254403,0.00391389,-2.21485e-05
0.0273973,0.00391389,-2.37595e-05
0.0293542,0.00391389,-2.53571e-05
0.0313112,0.00391389,-2.69412e-05
0.0332681,0.00391389,-2.85118e-05
0.035225,0.00391389,-3.00687e-05
0.037182,0.00391389,-3.1612e-05
0.0391389,0.00391389,-3.31417e-05
0.0410959,0.00391389,-3.46577e-05
0.0430528,0.00391389,-3.61599e-05
0.0450098,0.00391389,-3.76484e-05
0.0469667,0.00391389,-3.91232e-05
0.0489237,0.00391389,-4.05841e-05
0.0508806,0.00391389,-4.20312e-05
0.0528376,0.00391389,-4.34645e-05
0.0547945,0.00391389,-4.4884e-05
0.0567515,0.00391389,-4.62895e-05
0.0587084,0.00391389,-4.76812e-05
0.0606654,0.00391389,-4.9059e-05
0.0626223,0.00391389,-5.04228e-05
0.0645793,0.00391389,-5.17728e-05
0.0665362,0.00391389,-5.31088e-05
0.0684932,0.00391389,-5.44309e-05
0.0704501,0.00391389,-5.5739e-05
0.072407,0.00391389,-5.70332e-05
0.074364,0.00391389,-5.83134e-05
0.0763209,0.00391389,-5.95798e-05
0.0782779,0.00391389,-6.08321e-05
0.0802348,0.00391389,-6.20706e-05
0.0821918,0.00391389,-6.32951e-05
0.0841487,0.00391389,-6.45056e-05
